Año;Superficie sembrada (ha);Superficie cosechada (ha);Producción (toneladas);Rendimiento soja (kg x ha);
1969;30470;25970;26800;1032;
1970;37700;36330;59000;1624;
1971;79800;68000;78000;1147;
1972;169360;156950;271904;1732;
1973;376600;344340;495880;1440;
1974;369500;355940;485000;1363;
1975;442500;433500;695000;1603;
1976;710000;660000;1400000;2121;
1977;1200000;1150000;2500000;2174;
1978;1640000;1600000;3700000;2313;
1979;2100000;2030000;3500000;1724;
1980;1925000;1880000;3770000;2005;
1981;2040000;1985600;4150000;2090;
1982;2362000;2280700;4000000;1754;
1983;2920000;2910000;7000000;2405;
1984;3300000;3269000;6500000;1988;
1985;3340000;3316000;7100000;2141;
1986;3684000;3516650;6666400;1896;
1987;4413000;4373200;9900000;2264;
1988;4670000;3931250;6500000;1653;
1989;5100000;4961600;10700000;2157;
1990;4966200;4774100;10861200;2275;
1991;5003000;4934810;11308100;2291;
1992;5318410;5115085;11043400;2159;
1993;5817490;5748910;11719900;2039;
1994;6011240;5934160;12133000;2045;
1995;6002155;5913415;12448200;2105;
1996;6669500;6393780;11004890;1721;
1997;7176250;6954120;18732172;2694;
1998;8400000;8180000;20000000;2445;
1999;8788181;8635184;20131510;2331;
2000;10927330;10612893;27266252;2569;
2001;11627961;11394403;29962194;2630;
2002;12590244;12403394;34785121;2804;
2003;14513106;14291714;31560148;2208;
2004;14390630;14027875;38287103;2729;
2005;15368083;15107896;40489266;2680;
2006;16110038;15952040;47431082;2973;
2007;16571885;16352459;46150651;2822;
2008;17980895;16711510;30966368;1853;
2009;18392752;18217927;53247361;2923;
2010;18870651;18733631;48846100;2607;
2011;18664148;17573258;40097644;2282;
2012;19902072;19286625;49117029;2547;
2013;19705342;19252952;53398720;2774;
2014;19792100;19334915;61398276;3176;
2015;20562233;19590871;59095247;3016;
2016;18057162;17335666;54972546;3171;
2017;17259260;16318060;37785927;2316;
2018;17010277;16575887;55263891;3334;
2019;16908238;16721424;48796666;2918;
